相对首次算法指令时间_s,PNG期望俯仰角速度_deg_s,Betaflight设定俯仰角速度_deg_s,实际俯仰角速度_deg_s
0.000000,0.322809,0.000000,0.000000
0.002000,0.335922,0.000000,-1.000000
0.004000,0.349035,0.000000,-0.832013
0.006000,0.362148,0.000000,0.000000
0.008000,0.375261,0.000000,-0.664291
0.010000,0.388373,0.000000,0.000000
0.012000,0.401486,0.000000,-1.000000
0.014000,0.414599,0.000000,-0.826087
0.016000,0.427712,0.000000,1.000000
0.018000,0.440825,0.000000,0.254747
0.020000,0.453938,0.000000,0.661916
0.022000,0.473482,0.000000,0.000000
0.024000,0.493212,0.000000,0.505146
0.026000,0.512942,0.000000,0.911252
0.028000,0.532672,0.000000,0.673001
0.030000,0.552402,0.000000,0.743671
0.032000,0.572132,0.000000,-0.840603
0.034000,0.591862,0.000000,0.424386
0.036000,0.611592,0.000000,1.000000
0.038000,0.631322,0.000000,0.408551
0.040000,0.651052,0.000000,1.000000
0.042000,0.674487,0.000000,0.240285
0.044000,0.698123,0.000000,0.343106
0.046000,0.721759,0.000000,1.000000
0.048000,0.745395,0.000000,0.000000
0.050000,0.769031,0.000000,0.094220
0.052000,0.792667,0.000000,0.000000
0.054000,0.816303,0.000000,0.000000
0.056000,0.839939,0.000000,0.000000
0.058000,0.863575,0.000000,0.931692
0.060000,0.887211,0.000000,0.513064
0.062000,0.919440,0.000000,0.901264
0.064000,0.952433,0.000000,0.000000
0.066000,0.985425,0.000000,0.734387
0.068000,1.018418,0.000000,0.000000
0.070000,1.051410,0.000000,0.000000
0.072000,1.084402,0.015835,0.000000
0.074000,1.117395,1.000000,0.000000
0.076000,1.150387,1.000000,0.000000
0.078000,1.183379,1.000000,0.000000
0.080000,1.216372,1.000000,0.000000
0.082000,1.255781,1.000000,0.934335
0.084000,1.296000,1.000000,0.018211
0.086000,1.336220,1.000000,0.397781
0.088000,1.376439,1.000000,0.814727
0.090000,1.416658,1.000000,0.000000
0.092000,1.456877,1.000000,0.353407
0.094000,1.497096,1.000000,0.062549
0.096000,1.537315,1.000000,0.520982
0.098000,1.577534,1.000000,0.000000
0.100000,1.617753,1.000000,0.688044
0.102000,1.664653,1.000000,1.000000
0.104000,1.712673,1.000000,1.000000
0.106000,1.760693,1.000000,1.000000
0.108000,1.808713,1.000000,1.000000
0.110000,1.856733,1.000000,1.000000
0.112000,1.904753,1.000000,1.000000
0.114000,1.952773,1.000000,1.000000
0.116000,2.000793,1.000000,1.000000
0.118000,2.048813,1.000000,1.000000
0.120000,2.096834,1.000000,1.000000
0.122000,2.155264,1.000000,1.000000
0.124000,2.215880,1.000000,1.805864
0.126000,2.276496,1.000000,1.000000
0.128000,2.337112,1.000000,1.000000
0.130000,2.397728,1.000000,1.000000
0.132000,2.458344,1.000000,1.000000
0.134000,2.518960,1.112431,1.112431
0.136000,2.579576,2.000000,1.303487
0.138000,2.640192,2.000000,1.000000
0.140000,2.700808,2.000000,1.000000
0.142000,2.765001,2.000000,1.000000
0.144000,2.830116,2.000000,1.031671
0.146000,2.895231,2.000000,1.385771
0.148000,2.960346,2.000000,1.000000
0.150000,3.025461,2.000000,1.000000
0.152000,3.090576,2.000000,1.000000
0.154000,3.155692,2.000000,2.000000
0.156000,3.220807,2.000000,1.000000
0.158000,3.285922,2.000000,1.000000
0.160000,3.351037,2.000000,1.201268
0.162000,3.422277,2.000000,2.000000
0.164000,3.495388,2.000000,2.368963
0.166000,3.568498,2.000000,2.048259
0.168000,3.641609,2.000000,2.000000
0.170000,3.714720,2.000000,2.000000
0.172000,3.787830,2.000000,2.000000
0.174000,3.860941,2.287975,2.000000
0.176000,3.934052,3.000000,2.000000
0.178000,4.007163,3.000000,2.000000
0.180000,4.080273,3.000000,2.000000
0.182000,4.157852,3.000000,2.122336
0.184000,4.239072,3.000000,3.000000
0.186000,4.320292,3.000000,3.000000
0.188000,4.401512,3.000000,2.125891
0.190000,4.482732,3.000000,3.000000
0.192000,4.563951,3.000000,3.000000
0.194000,4.645171,3.000000,3.625495
0.196000,4.726391,3.000000,3.000000
0.198000,4.807611,3.000000,3.000000
0.200000,4.888831,3.000000,2.623613
0.202000,4.965160,3.000000,2.961173
0.204000,5.037011,3.000000,3.000000
0.206000,5.108862,3.000000,3.128165
0.208000,5.180713,3.000000,3.288431
0.210000,5.252564,3.000000,3.295886
0.212000,5.324415,3.000000,4.000000
0.214000,5.396266,3.962787,3.000000
0.216000,5.468117,4.000000,3.000000
0.218000,5.539968,4.000000,2.130745
0.220000,5.611819,4.000000,3.714399
0.222000,5.684815,4.000000,4.000000
0.224000,5.759000,4.000000,4.000000
0.226000,5.833185,4.000000,3.535178
0.228000,5.907370,4.000000,3.049089
0.230000,5.981555,4.000000,4.000000
0.232000,6.055740,4.000000,4.000000
0.234000,6.129926,4.801267,4.000000
0.236000,6.204111,5.000000,4.000000
0.238000,6.278296,5.000000,4.000000
0.240000,6.352481,5.000000,4.000000
0.242000,6.438373,5.000000,4.000000
0.244000,6.537708,5.000000,4.000000
0.246000,6.637042,5.000000,4.000000
0.248000,6.736377,5.000000,4.000000
0.250000,6.835712,5.000000,4.971474
0.252000,6.935046,5.000000,5.000000
0.254000,7.034381,5.000000,5.000000
0.256000,7.133715,5.000000,5.000000
0.258000,7.233050,5.000000,5.000000
0.260000,7.332384,5.000000,5.000000
0.262000,7.404646,5.000000,5.000000
0.264000,7.409650,5.000000,5.000000
0.266000,7.414654,5.000000,5.000000
0.268000,7.419658,6.000000,5.000000
0.270000,7.424661,6.000000,5.000000
0.272000,7.429665,6.000000,6.000000
0.274000,7.434669,6.000000,6.000000
0.276000,7.439673,6.000000,5.000000
0.278000,7.444677,6.643705,5.000000
0.280000,7.449681,7.000000,5.227848
0.282000,7.479610,7.000000,6.000000
0.284000,7.582169,7.000000,5.605222
0.286000,7.684728,7.000000,5.000000
0.288000,7.787287,7.000000,5.438443
0.290000,7.889847,7.000000,6.000000
0.292000,7.992406,7.000000,6.730008
0.294000,8.094965,7.000000,6.000000
0.296000,8.197524,7.000000,6.000000
0.298000,8.300083,7.000000,6.481394
0.300000,8.402643,7.000000,7.000000
0.302000,8.505730,7.000000,7.000000
0.304000,8.614613,7.000000,7.000000
0.306000,8.723497,7.000000,7.000000
0.308000,8.832380,7.000000,7.000000
0.310000,8.941263,7.000000,8.000000
0.312000,9.050147,7.000000,8.000000
0.314000,9.159030,7.000000,7.348101
0.316000,9.267913,7.000000,8.000000
0.318000,9.376797,7.000000,8.000000
0.320000,9.485680,7.000000,8.000000
0.322000,9.594530,7.000000,8.000000
0.324000,9.702710,7.000000,7.429477
0.326000,9.810890,7.000000,8.000000
0.328000,9.919069,7.000000,8.000000
0.330000,10.027249,7.000000,8.321994
0.332000,10.135428,7.000000,9.000000
0.334000,10.243608,7.000000,8.000000
0.336000,10.351787,7.000000,8.000000
0.338000,10.459967,7.000000,8.000000
0.340000,10.568146,7.000000,8.000000
0.342000,10.676326,7.000000,7.675911
0.344000,10.619980,7.907437,7.000000
0.346000,10.563469,8.000000,7.491297
0.348000,10.506958,8.076010,8.000000
0.350000,10.450447,9.000000,8.000000
0.352000,10.393936,9.000000,8.000000
0.354000,10.337425,9.000000,7.173397
0.356000,10.280914,9.000000,7.410135
0.358000,10.224403,9.000000,7.005547
0.360000,10.167892,9.000000,8.000000
0.362000,10.111381,9.000000,8.000000
0.364000,10.251733,9.000000,8.000000
0.366000,10.398174,9.000000,8.329375
0.368000,10.544615,9.000000,9.000000
0.370000,10.691055,9.000000,9.000000
0.372000,10.837496,9.080760,8.919240
0.374000,10.983937,10.000000,8.000000
0.376000,11.130377,10.000000,8.748811
0.378000,11.276818,10.000000,9.000000
0.380000,11.423258,10.000000,9.000000
0.382000,11.569699,10.000000,8.500396
0.384000,11.686988,10.000000,9.000000
0.386000,11.802382,10.000000,9.000000
0.388000,11.917777,11.000000,9.250990
0.390000,12.033171,11.000000,10.000000
0.392000,12.148566,11.000000,9.000000
0.394000,12.263961,11.000000,9.002375
0.396000,12.379355,11.000000,10.586371
0.398000,12.494750,11.000000,10.000000
0.400000,12.610144,11.000000,10.000000
0.402000,12.725539,11.000000,11.000000
0.404000,12.722073,11.000000,11.000000
0.406000,12.678774,10.000000,11.004751
0.408000,12.635476,10.000000,12.000000
0.410000,12.592178,10.000000,11.000000
0.412000,12.548879,10.000000,11.000000
0.414000,12.505581,10.000000,11.000000
0.416000,12.462283,10.000000,11.000000
0.418000,12.418985,10.000000,12.000000
0.420000,12.375686,10.000000,11.000000
0.422000,12.332388,10.000000,11.675376
0.424000,12.402268,10.000000,11.741093
0.426000,12.516600,10.842439,11.842439
0.428000,12.630931,11.425970,12.000000
0.430000,12.745263,12.000000,11.000000
0.432000,12.859595,12.000000,11.000000
0.434000,12.973926,12.000000,11.000000
0.436000,13.088258,12.000000,11.760697
0.438000,13.202590,12.000000,11.000000
0.440000,13.316921,12.000000,10.858274
0.442000,13.431253,12.000000,11.987332
0.444000,13.547873,12.000000,11.000000
0.446000,13.665526,12.179731,12.640538
0.448000,13.783180,13.000000,10.236133
0.450000,13.900833,13.000000,11.346793
0.452000,14.018486,13.000000,11.068938
0.454000,14.136139,13.000000,11.515439
0.456000,14.253792,13.000000,12.900316
0.458000,14.371446,13.000000,12.000000
0.460000,14.489099,13.000000,12.000000
0.462000,14.606752,13.000000,12.850356
0.464000,14.529843,13.000000,13.000000
0.466000,14.351133,13.000000,12.018211
0.468000,14.172423,13.000000,13.000000
0.470000,13.993713,13.000000,13.000000
0.472000,13.815002,13.000000,13.000000
0.474000,13.636292,13.000000,13.000000
0.476000,13.457582,13.000000,13.000000
0.478000,13.278872,13.000000,13.000000
0.480000,13.100162,13.000000,13.604117
0.482000,12.921452,13.000000,13.000000
0.484000,12.957837,13.000000,13.000000
0.486000,13.122181,13.000000,13.644497
0.488000,13.286525,13.000000,13.000000
0.490000,13.450869,13.000000,13.000000
0.492000,13.615213,13.106888,13.000000
0.494000,13.779557,14.000000,13.000000
0.496000,13.943901,15.000000,12.726049
0.498000,14.108245,15.000000,13.714964
0.500000,14.272590,15.000000,13.558195
0.502000,14.436934,15.000000,13.000000
0.504000,14.340837,15.000000,14.000000
0.506000,14.071837,15.000000,13.306962
0.508000,13.802836,15.000000,13.723455
0.510000,13.533835,15.000000,13.860649
0.512000,13.264834,15.000000,14.555468
0.514000,12.995833,15.000000,13.027712
0.516000,12.726832,14.387787,14.612213
0.518000,12.457832,13.804589,14.000000
0.520000,12.188831,13.000000,14.778922
0.522000,11.919830,13.000000,14.273159
0.524000,11.859217,13.000000,14.893903
0.526000,11.961344,13.000000,14.939034
0.528000,12.063471,13.000000,14.114715
0.530000,12.165598,13.000000,15.697546
0.532000,12.267725,13.000000,14.717340
0.534000,12.369851,13.000000,14.866192
0.536000,12.471978,13.000000,14.050633
0.538000,12.574105,13.000000,15.000000
0.540000,12.676232,13.000000,14.000000
0.542000,12.778359,13.000000,14.000000
0.544000,12.877654,13.000000,14.000000
0.546000,12.974474,13.868463,14.000000
0.548000,13.071294,14.452456,13.000000
0.550000,13.168114,15.000000,14.000000
0.552000,13.264933,15.000000,13.380048
0.554000,13.361753,15.000000,12.000000
0.556000,13.458573,15.000000,12.000000
0.558000,13.555393,15.000000,13.000000
0.560000,13.652213,15.000000,13.000000
0.562000,13.749032,15.000000,12.462451
0.564000,13.889679,14.877276,13.000000
0.566000,14.073456,13.293745,13.000000
0.568000,14.257233,12.000000,13.789223
0.570000,14.441011,12.000000,13.626582
0.572000,14.624788,12.000000,13.000000
0.574000,14.808565,12.000000,13.000000
0.576000,14.992342,12.000000,13.125000
0.578000,15.176120,12.000000,14.000000
0.580000,15.359897,12.000000,13.000000
0.582000,15.543674,12.000000,13.000000
0.584000,15.427651,12.000000,12.460808
0.586000,14.978269,12.043616,13.043616
0.588000,14.528887,13.000000,13.371835
0.590000,14.079506,13.000000,11.788431
0.592000,13.630124,13.000000,11.000000
0.594000,13.180743,13.000000,12.000000
0.596000,12.731361,13.000000,12.963579
