label,start_range_m,hit,hit_t_s,min_range_m,final_range_m,frames,detected_frames,valid_frames,detected_ratio,valid_ratio,max_load_factor_fd_g,command_load_p95_g,truth_or_guidance_p95_g,los_error_p95_deg,ttc_p50_s,ttc_valid_ratio,avg_sim_sample_fps
J,40.0,False,nan,7.1112150739004925,110.26948601619598,697,96,91,0.13773314203730272,0.13055954088952654,1.289344333681011,0.42477707366221,0.5206852608524035,131.661305900967,3.961,0.1133428981348637,19.916809219727387
J0,40.0,True,9.741207838058472,0.7038172162773669,0.7038172162773669,195,164,86,0.841025641025641,0.441025641025641,1.5184355731412165,1.814619305556445,0.588012932841893,15.815426970730394,3.33,0.4,19.929582936982303
K,40.0,False,nan,1.1377922848492925,66.35338479934099,698,150,107,0.2148997134670487,0.15329512893982808,1.2727758228265955,5.046298063068456,0.5219424081212234,166.72595499713606,3.234,0.12607449856733524,19.930933264364402
K0,40.0,True,9.77720856666565,0.8074995250177929,0.8074995250177929,195,161,91,0.8256410256410256,0.4666666666666667,1.5666746106180858,5.775791662639255,0.5739185150299917,15.942329504953385,3.664,0.4205128205128205,19.887761143968703
L,40.0,True,10.080214977264404,1.104275723120679,1.1123128343366278,201,148,118,0.736318407960199,0.5870646766169154,1.3857334451996377,8.030413889460178,0.6154703260371563,15.79215489611639,3.044,0.472636815920398,19.885478412171036
L0,40.0,True,9.729207515716553,0.8186224067640963,0.8186224067640963,194,159,106,0.8195876288659794,0.5463917525773195,1.6095646529401302,4.513836516114067,0.591952080968533,8.530902067474234,3.151,0.4690721649484536,19.878641500655384
M,40.0,False,nan,7.606119609987629,177.2733729487393,698,92,92,0.1318051575931232,0.1318051575931232,1.5185088759087557,0.9726091970752219,0.4012956281301435,130.31409982450757,nan,0.0,19.93444966006904
M0,40.0,True,9.981212854385376,1.0054232532639997,1.124551561924548,199,153,135,0.7688442211055276,0.678391959798995,1.4847485870238255,3.1659029476738136,1.0054608739375581,30.852903897437308,nan,0.0,19.882097849536898
N,40.0,False,nan,4.864725605419735,112.25821305961867,697,134,134,0.19225251076040173,0.19225251076040173,0.8546184292155302,13.48498324864664,2.3279780339823697,142.58099827581825,nan,0.0,19.91798017794229
N0,40.0,True,10.245218515396118,0.8371883490871046,0.8371883490871046,205,156,156,0.7609756097560976,0.7609756097560976,1.1113473284085837,14.878064619944892,4.361359017881887,9.123693713343512,nan,0.0,19.92580518097749
P,40.0,True,11.298241138458252,0.5436900928056472,0.5436900928056472,226,177,177,0.7831858407079646,0.7831858407079646,1.3344065481028378,16.3088719220645,7.476215535395782,14.41498833653001,nan,0.0,19.928768574564888
P0,40.0,True,10.632226943969727,0.977475254962728,1.009480304206766,212,161,161,0.7594339622641509,0.7594339622641509,1.5527442311825672,14.585625173103573,4.494689826267759,7.058718833842303,nan,0.0,19.888406306788458
J,50.0,True,9.92721176147461,0.48122332947471824,0.48122332947471824,198,179,149,0.9040404040404041,0.7525252525252525,1.5972851172802314,1.1218798612427654,0.6323753651600333,15.1779043458536,2.614,0.6818181818181818,19.88971288177038
J0,50.0,True,9.843209981918335,0.5908034380363075,0.5908034380363075,197,178,131,0.9035532994923858,0.6649746192893401,1.4979391285545414,0.7833296549166812,0.43555895870760675,10.244810105008636,2.581,0.5736040609137056,19.926295551985856
K,50.0,True,9.774208545684814,0.9780359574387723,0.9780359574387723,195,176,165,0.9025641025641026,0.8461538461538461,1.5426865698451404,9.612937024478498,0.612710433676286,7.844167033158458,2.925,0.6871794871794872,19.889877035173182
K0,50.0,True,9.97821307182312,0.49107194539954807,0.49107194539954807,199,183,138,0.9195979899497487,0.6934673366834171,1.4677830167780017,7.310844744865804,0.42746264715589405,13.577261684182371,2.9745,0.592964824120603,19.888286812570115
L,50.0,True,9.975212574005127,1.2311746454834913,1.2311746454834913,199,170,152,0.8542713567839196,0.7638190954773869,1.5564771481868065,10.80928928602624,0.5549205330959481,7.565758784826333,2.595,0.5879396984924623,19.894476556693412
L0,50.0,True,9.828209638595581,1.0899579146879568,1.0899579146879568,196,176,160,0.8979591836734694,0.8163265306122449,1.4942534093040052,6.101376693645476,0.4491915421207461,7.285607264729908,2.7605,0.7142857142857143,19.882144254711502
M,50.0,False,nan,4.676987070471487,150.01422742545412,697,135,135,0.19368723098995697,0.19368723098995697,1.5270974139956068,1.2189596642796958,0.4237066156588546,135.69655946656536,nan,0.0,19.91798021344933
M0,50.0,True,9.693206787109375,1.1276605300674176,1.1276605300674176,194,176,175,0.9072164948453608,0.9020618556701031,1.735599388286738,2.3191775019204126,1.849147870748466,7.075152011837758,nan,0.0,19.924902533366026
N,50.0,True,12.087257862091064,1.2658312318711584,1.2658312318711584,241,238,238,0.9875518672199171,0.9875518672199171,1.2818350728729473,15.901059656462852,4.416269771838063,7.700795761334949,nan,0.0,19.895303278962093
N0,50.0,True,10.593226194381714,0.9610618965639703,0.9610618965639703,212,187,187,0.8820754716981132,0.8820754716981132,1.4837110146396508,14.876340419224919,3.0367807405936125,7.151971949257954,nan,0.0,19.93266614412292
P,50.0,True,11.988255739212036,1.1186721298454803,1.1186721298454803,239,232,232,0.9707112970711297,0.9707112970711297,0.9063719644071697,15.719630164176795,4.355857937410988,7.610150664634574,nan,0.0,19.89611275100476
P0,50.0,True,11.031235456466675,1.200820196776988,1.200820196776988,220,199,199,0.9045454545454545,0.9045454545454545,1.290644634448542,14.475188039039743,2.7378098140635694,7.141876831036412,nan,0.0,19.891208004988
J,60.0,True,9.927211999893188,0.8886456173905676,0.8886456173905676,198,181,175,0.9141414141414141,0.8838383838383839,1.5292786672443408,0.8097024333382543,0.42280473945431785,7.645930667120096,2.57,0.7828282828282829,19.889712596436066
J0,60.0,True,9.92721176147461,0.933632970037811,0.9774877089882331,198,182,170,0.9191919191919192,0.8585858585858586,1.6605115275537388,0.3623216528266588,0.42018431338699325,7.564113762642493,2.667,0.7525252525252525,19.885575886857854
K,60.0,True,10.191217422485352,0.969819113742484,0.969819113742484,204,190,185,0.9313725490196079,0.9068627450980392,1.392332043851805,12.986077837978337,0.4393390804168954,7.863767476801092,2.623,0.7892156862745098,19.933410381888272
