config,range,status,hit,min_range,final_range,detected,valid,frames,avg_fps
historical baseline,50,hit,True,1.600492468432813,1.6301019265342072,97.08029197080292,97.8102189781022,137.0,7.900997806185287
historical baseline,60,miss,False,2.3174977802637957,115.43051377966512,50.73529411764706,51.83823529411765,272.0,7.903130863419807
historical baseline,70,miss,False,2.132173259299929,13.640652216143664,86.31921824104235,69.70684039087948,307.0,7.890500512504003
historical baseline,80,hit,True,1.610180376470086,1.610180376470086,88.34355828220859,97.54601226993866,163.0,7.915760453676311
historical baseline,90,hit,True,0.8361989398545138,0.9846115359415367,71.6,82.8,250.0,7.89307747641777
historical baseline,100,hit,True,1.5449884179141864,1.5449884179141864,74.2081447963801,89.14027149321268,221.0,7.92223429244289
async compressed FP32,50,miss,False,1.8622476940855706,105.48176029478016,34.83606557377049,36.885245901639344,244.0,7.970334665620519
async compressed FP32,60,hit,True,1.676296308943652,1.676296308943652,92.3076923076923,94.23076923076923,104.0,7.982619358915854
async compressed FP32,70,miss,False,2.0939541237397505,125.1259566461087,34.92063492063492,35.55555555555556,315.0,7.964270042711499
async compressed FP32,80,miss,False,1.746533469236081,134.48327322093797,35.42857142857142,39.14285714285714,350.0,7.9473121550329395
async compressed FP32,90,miss,False,2.1563788436839415,116.16689496890397,44.28969359331476,54.59610027855153,359.0,7.957304784855612
async compressed FP32,100,miss,False,2.1137648125781103,81.41790023742217,37.709497206703915,43.296089385474865,358.0,7.9467798596213255
sync compressed FP16,50,timeout/crash,False,nan,nan,nan,nan,nan,nan
sync compressed FP16,60,miss,False,1.7078890923648586,89.64172755507629,36.63003663003663,38.46153846153847,273.0,7.937677970934359
sync compressed FP16,70,hit,True,1.630953906832985,1.630953906832985,88.42975206611571,95.0413223140496,121.0,7.897864240991141
sync compressed FP16,80,hit,True,1.6507950946326713,1.6507950946326713,72.85714285714285,91.9047619047619,210.0,7.900418419717832
sync compressed FP16,90,miss,False,2.676015175877859,9.980946737827837,73.92550143266476,79.08309455587393,349.0,7.860481255965793
sync compressed FP16,100,hit,True,1.9822231445626952,1.9839235809389728,71.81008902077151,82.7893175074184,337.0,7.870769920178338
